,Date,day,month,dayofweek,quarter,holiday,Amount,flag
0,2022-03-31,31,3,3,1,0,101683.85,Actual
1,2022-04-01,1,4,4,2,0,865478.6,Actual
2,2022-04-02,2,4,5,2,0,913101.53,Actual
3,2022-04-03,3,4,6,2,0,1011763.38,Actual
4,2022-04-04,4,4,0,2,0,882059.17,Actual
5,2022-04-05,5,4,1,2,0,950544.05,Actual
6,2022-04-06,6,4,2,2,0,886985.26,Actual
7,2022-04-07,7,4,3,2,0,909899.35,Actual
8,2022-04-08,8,4,4,2,0,1017857.61,Actual
9,2022-04-09,9,4,5,2,0,972076.48,Actual
10,2022-04-10,10,4,6,2,1,1075234.03,Actual
11,2022-04-11,11,4,0,2,0,949559.27,Actual
12,2022-04-12,12,4,1,2,0,885895.03,Actual
13,2022-04-13,13,4,2,2,0,977017.3,Actual
14,2022-04-14,14,4,3,2,0,1113487.56,Actual
15,2022-04-15,15,4,4,2,1,1024143.13,Actual
16,2022-04-16,16,4,5,2,0,1009402.23,Actual
17,2022-04-17,17,4,6,2,1,940843.9,Actual
18,2022-04-18,18,4,0,2,0,885403.46,Actual
19,2022-04-19,19,4,1,2,0,958943.36,Actual
20,2022-04-20,20,4,2,2,0,1091550.41,Actual
21,2022-04-21,21,4,3,2,0,971524.58,Actual
22,2022-04-22,22,4,4,2,0,977653.62,Actual
23,2022-04-23,23,4,5,2,0,1092882.62,Actual
24,2022-04-24,24,4,6,2,0,1082483.95,Actual
25,2022-04-25,25,4,0,2,0,977332.88,Actual
26,2022-04-26,26,4,1,2,0,910749.81,Actual
27,2022-04-27,27,4,2,2,0,850676.58,Actual
28,2022-04-28,28,4,3,2,0,838362.09,Actual
29,2022-04-29,29,4,4,2,0,838703.65,Actual
30,2022-04-30,30,4,5,2,0,969634.43,Actual
31,2022-05-01,1,5,6,2,1,1079957.52,Actual
32,2022-05-02,2,5,0,2,1,1172327.06,Actual
33,2022-05-03,3,5,1,2,1,1190672.59,Actual
34,2022-05-04,4,5,2,2,0,1208509.17,Actual
35,2022-05-05,5,5,3,2,0,894704.17,Actual
36,2022-05-06,6,5,4,2,0,908771.13,Actual
37,2022-05-07,7,5,5,2,0,910619.76,Actual
38,2022-05-08,8,5,6,2,0,902173.06,Actual
39,2022-05-09,9,5,0,2,0,810945.89,Actual
40,2022-05-10,10,5,1,2,0,723616.88,Actual
41,2022-05-11,11,5,2,2,0,737292.52,Actual
42,2022-05-12,12,5,3,2,0,693445.93,Actual
43,2022-05-13,13,5,4,2,0,736609.76,Actual
44,2022-05-14,14,5,5,2,0,768171.9,Actual
45,2022-05-15,15,5,6,2,0,894645.67,Actual
46,2022-05-16,16,5,0,2,0,763146.91,Actual
47,2022-05-17,17,5,1,2,0,764918.63,Actual
48,2022-05-18,18,5,2,2,0,797542.08,Actual
49,2022-05-19,19,5,3,2,0,778026.25,Actual
50,2022-05-20,20,5,4,2,0,704449.01,Actual
51,2022-05-21,21,5,5,2,0,697790.62,Actual
52,2022-05-22,22,5,6,2,0,777176.83,Actual
53,2022-05-23,23,5,0,2,0,755930.56,Actual
54,2022-05-24,24,5,1,2,0,759458.39,Actual
55,2022-05-25,25,5,2,2,0,819478.34,Actual
56,2022-05-26,26,5,3,2,0,767619.6,Actual
57,2022-05-27,27,5,4,2,0,813334.57,Actual
58,2022-05-28,28,5,5,2,0,850986.6,Actual
59,2022-05-29,29,5,6,2,0,816996.49,Actual
60,2022-05-30,30,5,0,2,0,817463.77,Actual
61,2022-05-31,31,5,1,2,0,903069.09,Actual
62,2022-06-01,1,6,2,2,0,935430.21,Actual
63,2022-06-02,2,6,3,2,0,895937.82,Actual
64,2022-06-03,3,6,4,2,0,737814.19,Actual
65,2022-06-04,4,6,5,2,0,889793.1,Actual
66,2022-06-05,5,6,6,2,1,989093.03,Actual
67,2022-06-06,6,6,0,2,0,955276.13,Actual
68,2022-06-07,7,6,1,2,0,965557.26,Actual
69,2022-06-08,8,6,2,2,0,965472.09,Actual
70,2022-06-09,9,6,3,2,0,959183.09,Actual
71,2022-06-10,10,6,4,2,0,798796.94,Actual
72,2022-06-11,11,6,5,2,0,863796.34,Actual
73,2022-06-12,12,6,6,2,0,955246.82,Actual
74,2022-06-13,13,6,0,2,0,877674.46,Actual
75,2022-06-14,14,6,1,2,0,899234.01,Actual
76,2022-06-15,15,6,2,2,0,785089.32,Actual
77,2022-06-16,16,6,3,2,0,778813.5,Actual
78,2022-06-17,17,6,4,2,0,747349.1,Actual
79,2022-06-18,18,6,5,2,0,741010.38,Actual
80,2022-06-19,19,6,6,2,0,729840.6,Actual
81,2022-06-20,20,6,0,2,0,756764.91,Actual
82,2022-06-21,21,6,1,2,0,804470.44,Actual
83,2022-06-22,22,6,2,2,0,778915.31,Actual
84,2022-06-23,23,6,3,2,0,654729.48,Actual
85,2022-06-24,24,6,4,2,0,630349.29,Actual
86,2022-06-25,25,6,5,2,0,654234.58,Actual
87,2022-06-26,26,6,6,2,0,773610.02,Actual
88,2022-06-27,27,6,0,2,0,714124.67,Actual
89,2022-06-28,28,6,1,2,0,772085.53,Actual
90,2022-06-29,29,6,2,2,0,827855.6875,Prediction
91,2022-06-30,30,6,3,2,0,803789.5625,Prediction
92,2022-07-01,1,7,4,3,0,782451.25,Prediction
93,2022-07-02,2,7,5,3,0,807819.25,Prediction
94,2022-07-03,3,7,6,3,0,815056.0625,Prediction
95,2022-07-04,4,7,0,3,0,985220.75,Prediction
96,2022-07-05,5,7,1,3,0,989674.375,Prediction
97,2022-07-06,6,7,2,3,0,972195.5625,Prediction
98,2022-07-07,7,7,3,3,0,931891.5625,Prediction
99,2022-07-08,8,7,4,3,0,913200.0625,Prediction
100,2022-07-09,9,7,5,3,1,990838.3125,Prediction
101,2022-07-10,10,7,6,3,1,978095.6875,Prediction
102,2022-07-11,11,7,0,3,0,876382.5625,Prediction
103,2022-07-12,12,7,1,3,0,864902.8125,Prediction
104,2022-07-13,13,7,2,3,0,876480.3125,Prediction
105,2022-07-14,14,7,3,3,0,884386.3125,Prediction
106,2022-07-15,15,7,4,3,0,759433.125,Prediction
107,2022-07-16,16,7,5,3,0,755951.0,Prediction
108,2022-07-17,17,7,6,3,0,746935.9375,Prediction
109,2022-07-18,18,7,0,3,0,783882.9375,Prediction
110,2022-07-19,19,7,1,3,0,793216.375,Prediction
111,2022-07-20,20,7,2,3,0,833328.375,Prediction
112,2022-07-21,21,7,3,3,0,738830.6875,Prediction
113,2022-07-22,22,7,4,3,0,745010.875,Prediction
114,2022-07-23,23,7,5,3,0,805394.3125,Prediction
115,2022-07-24,24,7,6,3,0,786385.875,Prediction
116,2022-07-25,25,7,0,3,0,824760.3125,Prediction
117,2022-07-26,26,7,1,3,0,805695.8125,Prediction
118,2022-07-27,27,7,2,3,0,826408.4375,Prediction
119,2022-07-28,28,7,3,3,0,802973.3125,Prediction
120,2022-07-29,29,7,4,3,0,801905.125,Prediction
121,2022-07-30,30,7,5,3,0,822598.8125,Prediction
122,2022-07-31,31,7,6,3,0,854141.3125,Prediction
123,2022-08-01,1,8,0,3,0,919328.4375,Prediction
124,2022-08-02,2,8,1,3,0,985181.625,Prediction
125,2022-08-03,3,8,2,3,0,954338.125,Prediction
126,2022-08-04,4,8,3,3,0,958080.0,Prediction
127,2022-08-05,5,8,4,3,0,885205.625,Prediction
128,2022-08-06,6,8,5,3,0,913719.0625,Prediction
129,2022-08-07,7,8,6,3,0,918908.25,Prediction
130,2022-08-08,8,8,0,3,1,1091132.125,Prediction
131,2022-08-09,9,8,1,3,0,938883.0,Prediction
132,2022-08-10,10,8,2,3,0,823264.25,Prediction
